instance_id,scale,CF_level,operation_count,method,display_method,seed_count,median_rpd_percent,median_runtime_seconds,median_runtime_budget_fraction,median_time_to_best_seconds,median_time_to_best_budget_fraction,median_decoder_evaluations
CB1_CORE_L_CF2_R03,L,CF2,184,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,7.47141041931385,69.29199949797476,0.18829347689667053,69.04606968496228,0.18762518936131053,4140.0
CB1_CORE_L_CF2_R04,L,CF2,165,Adapted DCGA,DCGA,5,46.29116651277316,330.1999243379978,1.000605831327266,263.99016155599384,0.7999701865333146,2852.0
CB1_CORE_L_CF2_R04,L,CF2,165,CSG-NI Phase6H provisional,CSG-NI,5,1.4158202523853494,330.0375786750228,1.0001138747727965,0.5903280050260946,0.001788872742503317,16450.0
CB1_CORE_L_CF2_R04,L,CF2,165,DABC-RIACRSP,DABC,5,35.02616189596799,330.00405616499484,1.0000122914090752,319.41553017299157,0.9679258490090653,17324.0
CB1_CORE_L_CF2_R04,L,CF2,165,GA,GA,5,19.082794706063403,330.01826969499234,1.000055362712098,306.2930392390117,0.9281607249667021,8674.0
CB1_CORE_L_CF2_R04,L,CF2,165,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,19.913819636811326,56.16234792000614,0.1701889330909277,56.11052630003542,0.1700318978788952,4140.0
CB1_CORE_L_CF2_R05,L,CF2,179,Adapted DCGA,DCGA,5,26.05196596918832,358.1371941649995,1.0003832239245798,301.99190264599747,0.8435528006871438,2560.0
CB1_CORE_L_CF2_R05,L,CF2,179,CSG-NI Phase6H provisional,CSG-NI,5,3.127155667969648,358.0139181020204,1.0000388773799453,112.3133948520408,0.3137245666258123,15994.0
CB1_CORE_L_CF2_R05,L,CF2,179,DABC-RIACRSP,DABC,5,23.26971717636238,358.0150457280106,1.000042027173214,353.4099691080046,0.9871786846592306,16105.0
CB1_CORE_L_CF2_R05,L,CF2,179,GA,GA,5,18.854909174522877,358.0137312350271,1.0000383554051036,347.40141800700803,0.9703950223659442,8467.0
CB1_CORE_L_CF2_R05,L,CF2,179,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,15.359852839733271,63.187507147027645,0.17650141661180907,61.14849721395876,0.17080585813954963,4140.0
CB1_CORE_L_CF3_R01,L,CF3,193,Adapted DCGA,DCGA,5,28.72940156114484,386.16256026999326,1.0004211405958374,297.20635621997644,0.769964653419628,2732.0
CB1_CORE_L_CF3_R01,L,CF3,193,CSG-NI Phase6H provisional,CSG-NI,5,2.1899392888117952,386.0652723569656,1.0001690993703771,80.18080488400301,0.20772229244560364,15482.0
CB1_CORE_L_CF3_R01,L,CF3,193,DABC-RIACRSP,DABC,5,26.929748482220294,386.00565918302163,1.0000146610959109,373.89553243800765,0.9686412757461338,18646.0
